PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_melpUnique_D1up.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_melpUnique_D1up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Hmel202006	1031360	1032465	+	0	NA	Intergenic	Intergenic	-2898	ID=HMEL006876g1.t2-E3;Parent=HMEL006876g1.t2								
1801	Hmel219003	6233657	6233867	+	0	NA	promoter-TSS (ID=HMEL034688g1.t1-E1;Parent=HMEL034688g1.t1)	-promoter-TSS (ID=HMEL034688g1.t1-E1;Parent=HMEL034688g1.t1)	-484	ID=HMEL034688g1.t1-E1;Parent=HMEL034688g1.t1								
71	Hmel201009	4179187	4180513	+	0	NA	Intergenic	Intergenic	-1173	ID=HMEL030238g1.t1-E2;Parent=HMEL030238g1.t1								
1648	Hmel218013	37220	37536	+	0	NA	Intergenic	Intergenic	3971	ID=HMEL034338g1.t1-E7;Parent=HMEL034338g1.t1								
1481	Hmel216011	1616308	1616512	+	0	NA	Intergenic	Intergenic	15086	ID=HMEL010254g1.t1-E2;Parent=HMEL010254g1.t1								
1178	Hmel213017	131722	132220	+	0	NA	Intergenic	Intergenic	1911	ID=HMEL008095g1.t1-E4;Parent=HMEL008095g1.t1								
1387	Hmel215008	198355	198863	+	0	NA	Intergenic	Intergenic	-1936	ID=HMEL013484g1.t1-E2;Parent=HMEL013484g1.t1								
512	Hmel207002	6223729	6223986	+	0	NA	Intergenic	Intergenic	70390	ID=HMEL037494g1.t1-E2;Parent=HMEL037494g1.t1								
1932	Hmel220005	5738367	5739142	+	0	NA	Intergenic	Intergenic	-17094	ID=HMEL012769g1.t1-E1;Parent=HMEL012769g1.t1								
463	Hmel207002	1680912	1681272	+	0	NA	Intergenic	Intergenic	23944	ID=HMEL011241g2.t1-E1;Parent=HMEL011241g2.t1								
517	Hmel207002	6420643	6421147	+	0	NA	Intergenic	Intergenic	-15587	ID=HMEL037498g1.t1-E1;Parent=HMEL037498g1.t1								
458	Hmel207002	762794	763193	+	0	NA	Intergenic	Intergenic	-3269	ID=HMEL011159g1.t1-E2;Parent=HMEL011159g1.t1								
1785	Hmel219003	3200807	3201343	+	0	NA	Intergenic	Intergenic	9722	ID=HMEL006178g2.t1-E3;Parent=HMEL006178g2.t1								
1250	Hmel213062	434474	434638	+	0	NA	Intergenic	Intergenic	25393	ID=HMEL032111g1.t1-E1;Parent=HMEL032111g1.t1								
1363	Hmel214029	148320	148580	+	0	NA	Intergenic	Intergenic	-6287	ID=HMEL011060g1.t1-E1;Parent=HMEL011060g1.t1								
722	Hmel209007	3484288	3484483	+	0	NA	Intergenic	Intergenic	-10047	ID=HMEL030452g1.t1-E1;Parent=HMEL030452g1.t1								
1109	Hmel212013	348751	349095	+	0	NA	promoter-TSS (ID=HMEL017576g1.t1-E5;Parent=HMEL017576g1.t1)	-promoter-TSS (ID=HMEL017576g1.t1-E5;Parent=HMEL017576g1.t1)	106	ID=HMEL017576g1.t1-E4;Parent=HMEL017576g1.t1								
2067	Hmel221012	2759908	2760295	+	0	NA	Intergenic	Intergenic	10223	ID=HMEL035613g1.t1-E2;Parent=HMEL035613g1.t1								
1630	Hmel218007	524211	525553	+	0	NA	Intergenic	Intergenic	-12286	ID=HMEL034298g1.t1-E1;Parent=HMEL034298g1.t1								
1597	Hmel218003	701464	701958	+	0	NA	Intergenic	Intergenic	-3893	ID=HMEL001028-RA-E1;Parent=HMEL001028-RA								
728	Hmel209007	4280149	4281044	+	0	NA	Intergenic	Intergenic	-2438	ID=HMEL009262g1.t1-E1;Parent=HMEL009262g1.t1								
1244	Hmel213053	87058	87445	+	0	NA	Intergenic	Intergenic	-32877	ID=HMEL032094g1.t1-E1;Parent=HMEL032094g1.t1								
2154	Hmel221042	39864	40428	+	0	NA	NA	NA	NA	NA								
1638	Hmel218007	727027	727592	+	0	NA	Intergenic	Intergenic	1509	ID=HMEL002563g1.t1-E6;Parent=HMEL002563g1.t1								
742	Hmel210001	1250160	1250412	+	0	NA	Intergenic	Intergenic	-1751	ID=HMEL017339g1.t1-E1;Parent=HMEL017339g1.t1								
29	Hmel201005	380547	380833	+	0	NA	TTS (ID=HMEL030070g1.t1-E1;Parent=HMEL030070g1.t1)	-TTS (ID=HMEL030070g1.t1-E1;Parent=HMEL030070g1.t1)	908	ID=HMEL030070g1.t1-E1;Parent=HMEL030070g1.t1								
350	Hmel205027	11924	12362	+	0	NA	promoter-TSS (ID=HMEL020101g1.t1-E2;Parent=HMEL020101g1.t1)	-promoter-TSS (ID=HMEL020101g1.t1-E2;Parent=HMEL020101g1.t1)	103	ID=HMEL020101g1.t1-E1;Parent=HMEL020101g1.t1								
1969	Hmel220022	380507	381621	+	0	NA	promoter-TSS (ID=HMEL010874-RA-E1;Parent=HMEL010874-RA)	-promoter-TSS (ID=HMEL010874-RA-E1;Parent=HMEL010874-RA)	-428	ID=HMEL010874-RA-E1;Parent=HMEL010874-RA								
1810	Hmel219003	7025916	7026188	+	0	NA	Intergenic	Intergenic	58649	ID=HMEL005995g1.t1-E1;Parent=HMEL005995g1.t1								
2203	Hmel217020	497357	498964	+	0	NA	Intergenic	Intergenic	-2147	ID=HMEL034071g1.t1-E1;Parent=HMEL034071g1.t1								
58	Hmel201009	2574151	2574453	+	0	NA	Intergenic	Intergenic	-9799	ID=HMEL017243g1.t1-E1;Parent=HMEL017243g1.t1								
153	Hmel202006	2550645	2550854	+	0	NA	Intergenic	Intergenic	-3047	ID=HMEL033307g1.t2-E1;Parent=HMEL033307g1.t2								
1546	Hmel217005	251251	251823	+	0	NA	TTS (ID=HMEL007702g1.t1-E3;Parent=HMEL007702g1.t1)	-TTS (ID=HMEL007702g1.t1-E3;Parent=HMEL007702g1.t1)	706	ID=HMEL007702g1.t1-E3;Parent=HMEL007702g1.t1								
101	Hmel201011	2281484	2281699	+	0	NA	Intergenic	Intergenic	1392	ID=HMEL011436-RA-E1;Parent=HMEL011436-RA								
340	Hmel205022	155670	156588	+	0	NA	Intergenic	Intergenic	8144	ID=HMEL016722g1.t1-E1;Parent=HMEL016722g1.t1								
311	Hmel205012	995832	996399	+	0	NA	Intergenic	Intergenic	-7343	ID=HMEL017894g2.t1-E1;Parent=HMEL017894g2.t1								
825	Hmel210009	354699	354878	+	0	NA	Intergenic	Intergenic	-3832	ID=HMEL005948g1.t1-E1;Parent=HMEL005948g1.t1								
917	Hmel211004	1155493	1155803	+	0	NA	Intergenic	Intergenic	-14717	ID=HMEL031053g1.t1-E1;Parent=HMEL031053g1.t1								
495	Hmel207002	4620801	4621879	+	0	NA	Intergenic	Intergenic	1980	ID=HMEL007261g1.t1-E1;Parent=HMEL007261g1.t1								
1703	Hmel218018	3999431	4000427	+	0	NA	promoter-TSS (ID=HMEL006056g3.t1-E3;Parent=HMEL006056g3.t1)	-promoter-TSS (ID=HMEL006056g3.t1-E3;Parent=HMEL006056g3.t1)	167	ID=HMEL006056g3.t1-E2;Parent=HMEL006056g3.t1								
2086	Hmel221015	452535	453280	+	0	NA	TTS (ID=HMEL008463g1.t1-E2;Parent=HMEL008463g1.t1)	-TTS (ID=HMEL008463g1.t1-E2;Parent=HMEL008463g1.t1)	2361	ID=HMEL008463g1.t1-E2;Parent=HMEL008463g1.t1								
1322	Hmel214008	307090	308579	+	0	NA	Intergenic	Intergenic	-103808	ID=HMEL008012g1.t1-E1;Parent=HMEL008012g1.t1								
1816	Hmel219005	51301	51685	+	0	NA	Intergenic	Intergenic	5220	ID=HMEL009277g2.t2-E1;Parent=HMEL009277g2.t2								
1172	Hmel213013	44578	45541	+	0	NA	Intergenic	Intergenic	-1841	ID=HMEL031835g1.t1-E2;Parent=HMEL031835g1.t1								
1259	Hmel213062	923160	923356	+	0	NA	promoter-TSS (ID=HMEL032122g1.t1-E5;Parent=HMEL032122g1.t1)	-promoter-TSS (ID=HMEL032122g1.t1-E5;Parent=HMEL032122g1.t1)	106	ID=HMEL032122g1.t1-E4;Parent=HMEL032122g1.t1								
834	Hmel210009	749265	749437	+	0	NA	Intergenic	Intergenic	1337	ID=HMEL002389g1.t1-E24;Parent=HMEL002389g1.t1								
285	Hmel205004	193580	194773	+	0	NA	Intergenic	Intergenic	-2362	ID=HMEL017087g1.t1-E2;Parent=HMEL017087g1.t1								
1216	Hmel213045	53110	53621	+	0	NA	Intergenic	Intergenic	37952	ID=HMEL017501g1.t1-E2;Parent=HMEL017501g1.t1								
2194	Hmel211018	140233	140912	+	0	NA	Intergenic	Intergenic	-10086	ID=HMEL031309g1.t1-E1;Parent=HMEL031309g1.t1								
1135	Hmel212013	3364329	3364978	+	0	NA	Intergenic	Intergenic	-4221	ID=HMEL012330g1.t1-E2;Parent=HMEL012330g1.t1								
2002	Hmel221005	248511	249288	+	0	NA	Intergenic	Intergenic	-1933	ID=HMEL035483g1.t1-E1;Parent=HMEL035483g1.t1								
1203	Hmel213035	298070	298255	+	0	NA	Intergenic	Intergenic	-3535	ID=HMEL031993g1.t1-E8;Parent=HMEL031993g1.t1								
96	Hmel201011	1550083	1550457	+	0	NA	TTS (ID=HMEL011394g1.t1-E3;Parent=HMEL011394g1.t1)	-TTS (ID=HMEL011394g1.t1-E3;Parent=HMEL011394g1.t1)	882	ID=HMEL011394g1.t1-E4;Parent=HMEL011394g1.t1								
2088	Hmel221015	379562	380117	+	0	NA	Intergenic	Intergenic	12208	ID=HMEL035653g1.t1-E6;Parent=HMEL035653g1.t1								
1068	Hmel212001	6242660	6243179	+	0	NA	Intergenic	Intergenic	-12559	ID=HMEL016387g1.t1-E1;Parent=HMEL016387g1.t1								
