PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1up_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_shared_D1up_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
559	Herato1801	3353299	3354423	+	0	NA	promoter-TSS (ID=evm.model.Herato1801.119-E2;Parent=evm.model.Herato1801.119)	-promoter-TSS (ID=evm.model.Herato1801.119-E2;Parent=evm.model.Herato1801.119)	-159	ID=evm.model.Herato1801.119-E2;Parent=evm.model.Herato1801.119								
127	Herato0101	13340363	13340793	+	0	NA	Intergenic	Intergenic	6813	ID=evm.model.Herato0101.460-E23;Parent=evm.model.Herato0101.460								
32	Herato0606	8350476	8351249	+	0	NA	Intergenic	Intergenic	2056	ID=evm.model.Herato0606.267-E1;Parent=evm.model.Herato0606.267								
443	Herato1505	2177243	2177759	+	0	NA	Intergenic	Intergenic	-89660	ID=evm.model.Herato1505.85-E1;Parent=evm.model.Herato1505.85								
206	Herato1007	1890575	1891129	+	0	NA	Intergenic	Intergenic	-11391	ID=evm.model.Herato1007.82.1-E1;Parent=evm.model.Herato1007.82.1								
118	Herato0801	4734735	4735199	+	0	NA	Intergenic	Intergenic	-4254	ID=evm.model.Herato0801.104-E5;Parent=evm.model.Herato0801.104								
71	Herato0701	8569411	8570558	+	0	NA	Intergenic	Intergenic	73147	ID=evm.model.Herato0701.373-E7;Parent=evm.model.Herato0701.373								
358	Herato1301	3491783	3492340	+	0	NA	Intergenic	Intergenic	11046	ID=evm.model.Herato1301.97-E2;Parent=evm.model.Herato1301.97								
331	Herato1202	15104414	15104741	+	0	NA	Intergenic	Intergenic	-50825	ID=evm.model.Herato1202.577-E1;Parent=evm.model.Herato1202.577								
737	Herato2001	8839150	8839644	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.371-E5;Parent=evm.model.Herato2001.371)	-promoter-TSS (ID=evm.model.Herato2001.371-E5;Parent=evm.model.Herato2001.371)	-678	ID=evm.model.Herato2001.371-E5;Parent=evm.model.Herato2001.371								
560	Herato1801	3785191	3785580	+	0	NA	Intergenic	Intergenic	-4174	ID=evm.model.Herato1801.133-E1;Parent=evm.model.Herato1801.133								
767	Herato2101	4890359	4890668	+	0	NA	Intergenic	Intergenic	-10597	ID=evm.model.Herato2101.159-E3;Parent=evm.model.Herato2101.159								
