PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_melpUnique_D2down.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_melpUnique_D2down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Hmel201011	2105142	2105576	+	0	NA	Intergenic	Intergenic	8384	ID=HMEL033069g1.t1-E2;Parent=HMEL033069g1.t1								
1801	Hmel215047	1047466	1048352	+	0	NA	Intergenic	Intergenic	-8094	ID=HMEL032888g1.t1-E1;Parent=HMEL032888g1.t1								
71	Hmel201009	1827815	1828568	+	0	NA	Intergenic	Intergenic	1451	ID=HMEL015815g1.t1-E4;Parent=HMEL015815g1.t1								
1648	Hmel213069	453910	454208	+	0	NA	Intergenic	Intergenic	1939	ID=HMEL032216g1.t1-E1;Parent=HMEL032216g1.t1								
1481	Hmel213004	1584773	1585401	+	0	NA	TTS (ID=HMEL031787g1.t1-E2;Parent=HMEL031787g1.t1)	-TTS (ID=HMEL031787g1.t1-E2;Parent=HMEL031787g1.t1)	794	ID=HMEL031787g1.t1-E2;Parent=HMEL031787g1.t1								
2927	Hmel218001	22766	23438	+	0	NA	promoter-TSS (ID=HMEL009682g1.t1-E5;Parent=HMEL009682g1.t1)	-promoter-TSS (ID=HMEL009682g1.t1-E5;Parent=HMEL009682g1.t1)	30	ID=HMEL009682g1.t1-E5;Parent=HMEL009682g1.t1								
2266	Hmel219005	99235	100175	+	0	NA	Intergenic	Intergenic	-2670	ID=HMEL009277g2.t1-E26;Parent=HMEL009277g2.t1								
1178	Hmel211004	2047790	2048287	+	0	NA	promoter-TSS (ID=HMEL015141g1.t1-E2;Parent=HMEL015141g1.t1)	-promoter-TSS (ID=HMEL015141g1.t1-E2;Parent=HMEL015141g1.t1)	135	ID=HMEL015141g1.t1-E1;Parent=HMEL015141g1.t1								
2915	Hmel213063	30990	31479	+	0	NA	TTS (ID=HMEL032133g1.t1-E12;Parent=HMEL032133g1.t1)	-TTS (ID=HMEL032133g1.t1-E12;Parent=HMEL032133g1.t1)	881	ID=HMEL032133g1.t1-E12;Parent=HMEL032133g1.t1								
1387	Hmel212009	158111	158295	+	0	NA	Intergenic	Intergenic	-34901	ID=HMEL031553g1.t1-E1;Parent=HMEL031553g1.t1								
512	Hmel206009	902821	903028	+	0	NA	Intergenic	Intergenic	23566	ID=HMEL037010g1.t1-E3;Parent=HMEL037010g1.t1								
1932	Hmel217001	1870909	1871084	+	0	NA	Intergenic	Intergenic	-44421	ID=HMEL033738g1.t1-E1;Parent=HMEL033738g1.t1								
463	Hmel205022	530148	530384	+	0	NA	TTS (ID=HmelGSTs5-E4;Parent=HmelGSTs5)	-TTS (ID=HmelGSTs5-E4;Parent=HmelGSTs5)	840	ID=HmelGSTs5-E4;Parent=HmelGSTs5								
517	Hmel206009	1388638	1388875	+	0	NA	Intergenic	Intergenic	-1611	ID=HMEL016787g1.t1-E2;Parent=HMEL016787g1.t1								
458	Hmel205022	200481	200828	+	0	NA	Intergenic	Intergenic	11330	ID=HMEL036814g1.t1-E2;Parent=HMEL036814g1.t1								
2634	Hmel221012	890385	890569	+	0	NA	Intergenic	Intergenic	14337	ID=HMEL035571g1.t1-E2;Parent=HMEL035571g1.t1								
1785	Hmel215047	13602	14209	+	0	NA	Intergenic	Intergenic	4106	ID=HMEL022146g1.t1-E1;Parent=HMEL022146g1.t1								
1250	Hmel211012	636580	636830	+	0	NA	Intergenic	Intergenic	2043	ID=HMEL031216g1.t1-E2;Parent=HMEL031216g1.t1								
1363	Hmel212001	6242660	6243179	+	0	NA	Intergenic	Intergenic	-12559	ID=HMEL016387g1.t1-E1;Parent=HMEL016387g1.t1								
722	Hmel207021	2077884	2079209	+	0	NA	Intergenic	Intergenic	30803	ID=HMEL037715g1.t1-E1;Parent=HMEL037715g1.t1								
2507	Hmel221001	1860363	1860826	+	0	NA	promoter-TSS (ID=HMEL013493g1.t1-E9;Parent=HMEL013493g1.t1)	-promoter-TSS (ID=HMEL013493g1.t1-E9;Parent=HMEL013493g1.t1)	-262	ID=HMEL013493g1.t1-E9;Parent=HMEL013493g1.t1								
1109	Hmel211001	166508	167130	+	0	NA	Intergenic	Intergenic	6736	ID=HMEL030978g1.t1-E3;Parent=HMEL030978g1.t1								
2067	Hmel218004	436777	437051	+	0	NA	Intergenic	Intergenic	-5550	ID=HMEL006662g1.t1-E1;Parent=HMEL006662g1.t1								
1630	Hmel213065	733477	733908	+	0	NA	TTS (ID=HMEL014720g1.t1-E4;Parent=HMEL014720g1.t1)	-TTS (ID=HMEL014720g1.t1-E4;Parent=HMEL014720g1.t1)	617	ID=HMEL014720g1.t2-E4;Parent=HMEL014720g1.t2								
1597	Hmel213054	83609	83911	+	0	NA	Intergenic	Intergenic	6188	ID=HMEL015621g1.t2-E1;Parent=HMEL015621g1.t2								
728	Hmel207023	114017	114292	+	0	NA	Intergenic	Intergenic	9583	ID=HMEL037735g1.t1-E3;Parent=HMEL037735g1.t1								
