PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_eratoUnique_D2up.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_eratoUnique_D2up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6712	Herato2001	8998986	8999144	+	0	NA	Intergenic	Intergenic	3482	ID=evm.model.Herato2001.380-E2;Parent=evm.model.Herato2001.380								
1801	Herato0901	6337244	6337729	+	0	NA	Intergenic	Intergenic	-5013	ID=evm.model.Herato0901.205-E12;Parent=evm.model.Herato0901.205								
5006	Herato1505	328691	328951	+	0	NA	Intergenic	Intergenic	-11243	ID=evm.model.Herato1505.21-E2;Parent=evm.model.Herato1505.21								
3074	Herato1108	8143991	8144420	+	0	NA	Intergenic	Intergenic	-4575	ID=evm.model.Herato1108.359.5-E1;Parent=evm.model.Herato1108.359.5								
3509	Herato1603	4013245	4013689	+	0	NA	promoter-TSS (ID=evm.model.Herato1603.119-E5;Parent=evm.model.Herato1603.119)	-promoter-TSS (ID=evm.model.Herato1603.119-E5;Parent=evm.model.Herato1603.119)	306	ID=evm.model.Herato1603.119-E4;Parent=evm.model.Herato1603.119								
4863	Herato1411	2309144	2309442	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.72-E14;Parent=evm.model.Herato1411.72)	-promoter-TSS (ID=evm.model.Herato1411.72-E14;Parent=evm.model.Herato1411.72)	22	ID=evm.model.Herato1411.72-E14;Parent=evm.model.Herato1411.72								
3163	Herato1701	6065518	6066390	+	0	NA	Intergenic	Intergenic	53763	ID=evm.model.Herato1701.167-E1;Parent=evm.model.Herato1701.167								
1178	Herato0701	14232046	14232204	+	0	NA	Intergenic	Intergenic	20948	ID=evm.model.Herato0701.643-E2;Parent=evm.model.Herato0701.643								
4628	Herato0310	5923376	5923616	+	0	NA	Intergenic	Intergenic	1235	ID=evm.model.Herato0310.143-E4;Parent=evm.model.Herato0310.143								
6459	Herato1901	2797807	2798328	+	0	NA	Intergenic	Intergenic	1920	ID=evm.model.Herato1901.88-E4;Parent=evm.model.Herato1901.88								
1387	Herato0801	4184267	4184855	+	0	NA	TTS (ID=evm.model.Herato0801.88-E3;Parent=evm.model.Herato0801.88)	-TTS (ID=evm.model.Herato0801.88-E3;Parent=evm.model.Herato0801.88)	262	ID=evm.model.Herato0801.88-E3;Parent=evm.model.Herato0801.88								
1932	Herato0901	11561036	11561430	+	0	NA	Intergenic	Intergenic	10882	ID=evm.model.Herato0901.347-E1;Parent=evm.model.Herato0901.347								
458	Herato0606	5929820	5930140	+	0	NA	Intergenic	Intergenic	-7969	ID=evm.model.Herato0606.202.1-E17;Parent=evm.model.Herato0606.202.1								
2634	Herato1807	1004519	1005497	+	0	NA	Intergenic	Intergenic	24322	ID=evm.model.Herato1807.18-E1;Parent=evm.model.Herato1807.18								
1785	Herato0901	5884978	5885123	+	0	NA	TTS (ID=evm.model.Herato0901.185-E2;Parent=evm.model.Herato0901.185)	-TTS (ID=evm.model.Herato0901.185-E2;Parent=evm.model.Herato0901.185)	115	ID=evm.model.Herato0901.185-E2;Parent=evm.model.Herato0901.185								
4361	Herato1805	620590	620824	+	0	NA	Intergenic	Intergenic	-1046	ID=evm.model.Herato1805.42.4-E1;Parent=evm.model.Herato1805.42.4								
5521	Herato1904	1066410	1066710	+	0	NA	TTS (ID=evm.model.Herato1904.35-E6;Parent=evm.model.Herato1904.35)	-TTS (ID=evm.model.Herato1904.35-E6;Parent=evm.model.Herato1904.35)	286	ID=evm.model.Herato1904.35.1-E7;Parent=evm.model.Herato1904.35.1								
5499	Herato1603	504710	504866	+	0	NA	Intergenic	Intergenic	23037	ID=evm.model.Herato1603.5-E3;Parent=evm.model.Herato1603.5								
1250	Herato0701	17417564	17418189	+	0	NA	Intergenic	Intergenic	-5587	ID=evm.model.Herato0701.732-E3;Parent=evm.model.Herato0701.732								
2507	Herato1005	2321185	2321323	+	0	NA	Intergenic	Intergenic	-5284	ID=evm.model.Herato1005.115-E1;Parent=evm.model.Herato1005.115								
6642	Herato2001	3552732	3552915	+	0	NA	Intergenic	Intergenic	-8742	ID=evm.model.Herato2001.104-E1;Parent=evm.model.Herato2001.104								
5810	Herato1701	1773274	1773425	+	0	NA	Intergenic	Intergenic	8365	ID=evm.model.Herato1701.55-E1;Parent=evm.model.Herato1701.55								
4893	Herato0411	663482	664717	+	0	NA	Intergenic	Intergenic	-5365	ID=evm.model.Herato0411.14.1-E1;Parent=evm.model.Herato0411.14.1								
3957	Herato1701	9097956	9098304	+	0	NA	Intergenic	Intergenic	5095	ID=evm.model.Herato1701.290.5-E7;Parent=evm.model.Herato1701.290.5								
1630	Herato0101	13708696	13709487	+	0	NA	Intergenic	Intergenic	-6190	ID=evm.model.Herato0101.490-E2;Parent=evm.model.Herato0101.490								
3497	Herato1603	3575158	3575504	+	0	NA	promoter-TSS (ID=evm.model.Herato1603.95-E2;Parent=evm.model.Herato1603.95)	-promoter-TSS (ID=evm.model.Herato1603.95-E2;Parent=evm.model.Herato1603.95)	-521	ID=evm.model.Herato1603.95-E2;Parent=evm.model.Herato1603.95								
6531	Herato2001	8287585	8288236	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.348.4-E1;Parent=evm.model.Herato2001.348.4)	-promoter-TSS (ID=evm.model.Herato2001.348.4-E1;Parent=evm.model.Herato2001.348.4)	-30	ID=evm.model.Herato2001.348.4-E1;Parent=evm.model.Herato2001.348.4								
4340	Herato1505	1282864	1283145	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.47-E22;Parent=evm.model.Herato1505.47)	-promoter-TSS (ID=evm.model.Herato1505.47-E22;Parent=evm.model.Herato1505.47)	421	ID=evm.model.Herato1505.47.1-E21;Parent=evm.model.Herato1505.47.1								
3185	Herato1108	11277756	11278240	+	0	NA	Intergenic	Intergenic	-6155	ID=evm.model.Herato1108.485-E1;Parent=evm.model.Herato1108.485								
